supplement_name,medication_name,severity,description,recommendation
"Supplement 47","Lorazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 48","Lorazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 49","Lorazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 50","Lorazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Alpha Lipoic Acid","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ashwagandha","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Caffeine","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chondroitin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chromium","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Collagen","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Copper","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Creatine Monohydrate","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Curcumin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fiber","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginger","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginseng","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Glucosamine","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Green Tea Extract","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iodine","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"L-Theanine","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Manganese","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Molybdenum","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Quercetin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Resveratrol","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Rhodiola","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"SAMe","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Selenium","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric (Curcumin)","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Valerian Root","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Whey Protein","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 1","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 2","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 3","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 4","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Supplement 5","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
