supplement_name,medication_name,severity,description,recommendation,source
Betaine (TMG),Warfarin,low,"Low likelihood of clinically significant interaction. Betaine (TMG) may affect CYP enzymes or transporters impacting Warfarin. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Duloxetine,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Creatine Monohydrate may affect CYP enzymes or transporters impacting Duloxetine.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Artichoke Extract,Losartan,low,Low likelihood of clinically significant interaction. Artichoke Extract may affect CYP enzymes or transporters impacting Losartan. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Electrolyte Blend,Warfarin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Quercetin,Escitalopram,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginkgo biloba,Hydrochlorothiazide,low,"Low likelihood of clinically significant interaction. Ginkgo biloba may affect CYP enzymes or transporters impacting Hydrochlorothiazide. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Omega-3 Fish Oil,Olanzapine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cordyceps,Nitrofurantoin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beta-Alanine,Escitalopram,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Biotin,Losartan,low,"Low likelihood of clinically significant interaction. Biotin may affect CYP enzymes or transporters impacting Losartan. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
N-Acetylcysteine (NAC),Azithromycin,low,"Low likelihood of clinically significant interaction. N-Acetylcysteine (NAC) may affect CYP enzymes or transporters impacting Azithromycin. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginkgo biloba,Quetiapine,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
